category,url,expected_place_name,expected_address,expected_decision,label_notes,backend_status,actual_candidate_name,actual_candidate_address,actual_candidate_place_id,actual_decision,safe_to_auto_save,confidence,evidence_used,warnings,places_queries,top_candidates,error_message,decision_pass,place_pass,overall_result,failure_type,notes
Name + Address,https://www.instagram.com/p/DYpcd2ZBTsZ/,2nd Floor,"126 Main St, Huntington Beach, CA 92648",candidate_confirmation,Exact venue + full address in caption/title. safe_save acceptable if real-Gemini path completes and no ambiguity.,extracted,2nd Floor,"126 Main St, Huntington Beach, CA 92648, USA",ChIJE5pV1UMh3YARIhsItpUt0K8,candidate_picker,false,medium,caption_explicit_address; caption_city_state; caption_venue_hint; poster_handle_present; poster_name_hint,,,"2nd Floor | 126 Main St, Huntington Beach, CA 92648, USA | score=0.73 | placeId=ChIJE5pV1UMh3YARIhsItpUt0K8 || Specialized Surfaces Flooring Contractor | 200 Pacific Coast Hwy UNIT 339, Huntington Beach, CA 92649, USA | score=0.73 | placeId=ChIJ0ZsMqqkv3YARr5p1gqBN6YA",,false,true,partial,unknown,
Name + Address,https://www.instagram.com/p/C-BEtdnyGdR/,Mad Yolks,"1411 Pacific Ave, Santa Cruz, CA",candidate_confirmation,Exact venue + address. Current backend finds correct place but query uses Glaum Egg Ranch first; should prefer caption venue/poster venue over egg supplier tag.,extracted,Mad Yolks,"1411 Pacific Ave, Santa Cruz, CA 95060, USA",ChIJa-286P5BjoARx03hogk54cw,candidate_confirmation,false,high,caption_explicit_address; caption_city_state; caption_venue_hint; venue_handle_tagged,,,"Mad Yolks | 1411 Pacific Ave, Santa Cruz, CA 95060, USA | score=0.84 | placeId=ChIJa-286P5BjoARx03hogk54cw",,true,true,pass,,
Name + Address,https://www.instagram.com/p/DV_bi8LiaIz/,Las Palmas Taco Bar,"55 Front St, Santa Cruz, CA",candidate_confirmation,Caption has venue name and address context but city/state not structured; current Toronto result is wrong. Need city/hashtag/location context handling.,extracted,Las Palmas Taco Bar,"55 Front St, Santa Cruz, CA 95060, USA",ChIJB7PfHJtqjoARSxWPsJUMYQA,candidate_confirmation,false,high,caption_explicit_address; caption_city_state; caption_venue_hint; poster_handle_present; poster_name_hint,,,"Las Palmas Taco Bar | 55 Front St, Santa Cruz, CA 95060, USA | score=0.84 | placeId=ChIJB7PfHJtqjoARSxWPsJUMYQA",,true,true,pass,,
Name + Address,https://www.instagram.com/p/DWUI9fvDCck/,Seabright Deli,"415 Seabright Ave, Santa Cruz, CA",candidate_confirmation,Exact venue + address. Should not return generic address card.,extracted,Seabright Deli,"415 Seabright Ave, Santa Cruz, CA 95062, USA",ChIJnRX-2FJrjoARoeQkm8tJ08E,candidate_confirmation,false,high,caption_explicit_address; caption_venue_hint; venue_handle_tagged,address_verify_name_mismatch,,"Seabright Deli | 415 Seabright Ave, Santa Cruz, CA 95062, USA | score=0.88 | placeId=ChIJnRX-2FJrjoARoeQkm8tJ08E",,true,true,pass,,
Name + Address,https://www.instagram.com/p/C2QKOHuP6qG/,Mad Yolks,"1411 Pacific Ave, Santa Cruz, CA",candidate_confirmation,Exact venue + address. Should prefer Mad Yolks over Glaum Egg Ranch tag.,extracted,Mad Yolks,"1411 Pacific Ave, Santa Cruz, CA 95060, USA",ChIJa-286P5BjoARx03hogk54cw,candidate_confirmation,false,high,caption_explicit_address; caption_city_state; caption_venue_hint; venue_handle_tagged,,,"Mad Yolks | 1411 Pacific Ave, Santa Cruz, CA 95060, USA | score=0.84 | placeId=ChIJa-286P5BjoARx03hogk54cw",,true,true,pass,,
@ + Address,https://www.instagram.com/p/DYlLg3coKFw/,Baqba Mexican Grill,"4288 Holt Blvd Unit J, Montclair, CA 91763",candidate_confirmation,Post lists multiple Baqba locations; expected first/addressed Montclair candidate or multi-location candidate confirmation.,extracted,Baqba Mexican Grill,"4288 Holt Blvd unit J, Montclair, CA 91763, USA",ChIJoV_1bwAzw4ARgnSzpaTeQLQ,candidate_confirmation,false,high,caption_explicit_address; caption_venue_hint; venue_handle_tagged,,,"Baqba Mexican Grill | 4288 Holt Blvd unit J, Montclair, CA 91763, USA | score=0.84 | placeId=ChIJoV_1bwAzw4ARgnSzpaTeQLQ",,true,true,pass,,
@ + Address,https://www.instagram.com/p/DYidHK4PuVf/,Famous Dave's Bar-B-Que,"300 S Pine Ave, Long Beach, CA 90802",candidate_confirmation,Venue-like handle + full address. Correct candidate confirmation.,extracted,Famous Dave's Bar-B-Que,"300 S Pine Ave, Long Beach, CA 90802, USA",ChIJo0h2qBYx3YAR1HWWVGbjUFI,candidate_confirmation,false,high,caption_explicit_address; caption_city_state; caption_venue_hint; venue_handle_tagged,address_verify_name_mismatch,,"Famous Dave's Bar-B-Que | 300 S Pine Ave, Long Beach, CA 90802, USA | score=0.95 | placeId=ChIJo0h2qBYx3YAR1HWWVGbjUFI",,true,true,pass,,
@ + Address,https://www.instagram.com/p/DYfr81GhvTS/,Loaded Cafe - Orange,"1834 N Tustin St, Orange, CA 92865",candidate_confirmation,Venue-like handle + full address. Correct candidate confirmation.,extracted,Loaded Cafe - Orange,"1834 N Tustin St, Orange, CA 92865, USA",ChIJG1xM7EHX3IARfRat2N2mU84,candidate_confirmation,false,high,caption_explicit_address; caption_city_state; caption_venue_hint; venue_handle_tagged,address_verify_name_mismatch,,"Loaded Cafe - Orange | 1834 N Tustin St, Orange, CA 92865, USA | score=0.79 | placeId=ChIJG1xM7EHX3IARfRat2N2mU84",,true,true,pass,,
@ + Address,https://www.instagram.com/p/DYVn771vefW/,Pho Bamboo Vietnamese Restaurant,"18209 Gale Ave, City of Industry, CA 91748",candidate_confirmation,Venue-like handle + full address. Correct candidate confirmation.,extracted,Pho Bamboo Vietnamese Restaurant,"18209 Gale Ave, City of Industry, CA 91748, USA",ChIJ2R9lbmYqw4ARNY62k_90y4Y,candidate_confirmation,false,high,caption_explicit_address; caption_venue_hint; venue_handle_tagged,address_verify_name_mismatch,,"Pho Bamboo Vietnamese Restaurant | 18209 Gale Ave, City of Industry, CA 91748, USA | score=0.95 | placeId=ChIJ2R9lbmYqw4ARNY62k_90y4Y",,true,true,pass,,
@ + Address,https://www.instagram.com/p/DYGvkJ0oDjA/,Baja Sharkeez,"114 McFadden Pl, Newport Beach, CA 92663",candidate_confirmation,Venue-like handle + full address. Current manual fallback is wrong; handle normalization likely strips nb/region poorly or fails matching.,extracted,Baja Sharkeez,"114 Mc Fadden Pl, Newport Beach, CA 92663, USA",ChIJvxBa4_4f3YARih5A9O_Z6ps,candidate_confirmation,false,medium,caption_explicit_address; caption_city_state; caption_venue_hint; venue_handle_tagged,address_verify_name_mismatch,,"Baja Sharkeez | 114 Mc Fadden Pl, Newport Beach, CA 92663, USA | score=0.68 | placeId=ChIJvxBa4_4f3YARih5A9O_Z6ps",,true,false,partial,compact_handle_name_mismatch,
@ + Address,https://www.instagram.com/p/DV9RcvwAQ0P/,Seabright Deli,"415 Seabright Ave, Santa Cruz, CA",candidate_confirmation,Explicit venue + address. Current generic address card/manual fallback is wrong.,extracted,Seabright Deli,"415 Seabright Ave, Santa Cruz, CA 95062, USA",ChIJnRX-2FJrjoARoeQkm8tJ08E,candidate_confirmation,false,high,caption_explicit_address; caption_city_state; caption_venue_hint; venue_handle_tagged,address_verify_name_mismatch,,"Seabright Deli | 415 Seabright Ave, Santa Cruz, CA 95062, USA | score=0.95 | placeId=ChIJnRX-2FJrjoARoeQkm8tJ08E",,true,true,pass,,
@ + Address,https://www.instagram.com/p/DWZNJZ-EthD/,Aptos St. BBQ,"8059 Aptos St, Aptos, CA 95003",candidate_confirmation,Venue-like handle + address; city implied by street/caption. Correct candidate confirmation.,extracted,Aptos St. BBQ,"8059 Aptos St, Aptos, CA 95003, USA",ChIJPxBh-XgWjoARZlz1iflbMsE,candidate_confirmation,false,high,caption_explicit_address; caption_venue_hint; venue_handle_tagged,address_verify_name_mismatch,,"Aptos St. BBQ | 8059 Aptos St, Aptos, CA 95003, USA | score=0.95 | placeId=ChIJPxBh-XgWjoARZlz1iflbMsE",,true,true,pass,,
Name or @ Only,https://www.instagram.com/p/DYPweEqPtWy/,,,manual_fallback,Panera campaign/local Panera with no address or city-specific place. Do not choose random Panera.,extracted,Panera Bread,"20920 West Roosevelt St, Buckeye, AZ 85326, USA",ChIJgTpV419JK4cRyCV7STHbz4w,candidate_picker,false,medium,caption_venue_hint; venue_handle_tagged,,,"Panera Bread | 20920 West Roosevelt St, Buckeye, AZ 85326, USA | score=0.88 | placeId=ChIJgTpV419JK4cRyCV7STHbz4w || Panera Bread | 887 S N County Blvd Suites A-B, Pleasant Grove, UT 84062, USA | score=0.88 | placeId=ChIJBc7o6vuDTYcRbWDrpggvzhQ || Panera Bread | 375 E Bell Rd Pad D, Phoenix, AZ 85022, USA | score=0.88 | placeId=ChIJ-3CP5T5uK4cRTpRzsZ7iIm4 || Panera Bread | 4324 Hwy 360, Fort Worth, TX 76155, USA | score=0.88 | placeId=ChIJl8ISoLSBToYRRRNmfppNVYc || Panera Bread | 8900 Apollo Way Suite A, Downey, CA 90242, USA | score=0.88 | placeId=ChIJ33kjH3LNwoARZ214dg_1ey4",,false,,fail,unknown,
Name or @ Only,https://www.instagram.com/p/DVUMt3DkmnK/,Seabright Deli,"Santa Cruz, CA",candidate_confirmation,Name + city + handle only. Candidate confirmation acceptable; no safe_save.,extracted,Seabright Deli,"415 Seabright Ave, Santa Cruz, CA 95062, USA",ChIJnRX-2FJrjoARoeQkm8tJ08E,candidate_confirmation,false,high,caption_city_state; caption_venue_hint; venue_handle_tagged,,,"Seabright Deli | 415 Seabright Ave, Santa Cruz, CA 95062, USA | score=0.95 | placeId=ChIJnRX-2FJrjoARoeQkm8tJ08E",,true,false,partial,compact_handle_name_mismatch,
Name or @ Only,https://www.instagram.com/p/CuIjn7kgPSe/,,,manual_fallback,Multi-place pizza list. Expected multi-place support later; for now do not pick one place silently.,extracted,Pleasure Pizza,"1415 Pacific Ave, Santa Cruz, CA 95060, USA",ChIJM5k3ByZAjoAR82FW0OLkf2Y,manual_fallback,false,low,caption_city_state; caption_venue_hint; venue_handle_tagged; roundup_post,,,"Pleasure Pizza | 1415 Pacific Ave, Santa Cruz, CA 95060, USA | score=0.80 | placeId=ChIJM5k3ByZAjoAR82FW0OLkf2Y || Woodstock's Pizza Santa Cruz | 710 Front St, Santa Cruz, CA 95060, USA | score=0.80 | placeId=ChIJw--vbSZAjoARqCwlS455q20 || Pizza My Heart | 1116 Pacific Ave, Santa Cruz, CA 95060, USA | score=0.80 | placeId=ChIJT0u8xydAjoARTKIksISr9Uk || Kianti’s Pizza & Pasta Bar | 1100 Pacific Ave, Santa Cruz, CA 95060, USA | score=0.80 | placeId=ChIJibamlydAjoAREgrpZLdBZgg || Pogonip Pizza Co. | 222 Cardiff Pl, Santa Cruz, CA 95060, USA | score=0.79 | placeId=ChIJA4KMQgBBjoARckTEF9r7fjw",,true,,pass,,
Name or @ Only,https://www.instagram.com/p/DTI2vG0jreQ/,,,manual_fallback,Large multi-place roundup. Expected multi-place support later; for now manual fallback/no single save.,extracted,Hot Birds,"580 Auto Center Dr, Watsonville, CA 95076, USA",ChIJFd_JInMbjoARsbt_BeAVsW4,candidate_confirmation,false,high,caption_venue_hint; venue_handle_tagged,,,"Hot Birds | 580 Auto Center Dr, Watsonville, CA 95076, USA | score=0.92 | placeId=ChIJFd_JInMbjoARsbt_BeAVsW4",,false,,fail,candidate_should_manual_fallback,
Name or @ Only,https://www.instagram.com/p/C1c6FT0SwKm/,,,manual_fallback,Top 5 burger list. Do not pick Oswald/#1 as a single saved place unless multi-place selection exists.,extracted,Wooden Nickel Bar & Grill,"1819 Freedom Blvd, Freedom, CA 95019, USA",ChIJNSTH0FYajoARmKc9uzk_Y-U,manual_fallback,false,low,caption_city_state; caption_venue_hint; venue_handle_tagged; roundup_post,,,"Wooden Nickel Bar & Grill | 1819 Freedom Blvd, Freedom, CA 95019, USA | score=0.46 | placeId=ChIJNSTH0FYajoARmKc9uzk_Y-U",,true,,pass,,
Name or @ Only,https://www.instagram.com/p/CmwyLcshhwy/,Tacos El Chuy Truck,"Santa Cruz, CA",candidate_confirmation,"Single venue handle/name only with city context. Candidate confirmation, not auto-save.",extracted,Tacos El Chuy,"402 Ingalls St, Santa Cruz, CA 95060, USA",ChIJ4SCfxshrjoARoXzvWT_38_I,candidate_confirmation,false,high,caption_venue_hint; venue_handle_tagged,,,"Tacos El Chuy | 402 Ingalls St, Santa Cruz, CA 95060, USA | score=0.88 | placeId=ChIJ4SCfxshrjoARoXzvWT_38_I || Don Chuy's Tacos | 2440 McGilchrist St SE, Salem, OR 97302, USA | score=0.50 | placeId=ChIJAzwYaBoBwFQRn5rQxfMbKBI || Mami Chuy Tacos | 2525 N Texas St, Fairfield, CA 94533, USA | score=0.50 | placeId=ChIJC1fv6FQXhYARIjUXScmbgKE || Xochi | 145 NW Gilman Blvd, Issaquah, WA 98027, USA | score=0.50 | placeId=ChIJ1bCrf4NvkFQRvGxn0x9S7CQ || Chuy's Taqueria | 208 Railroad Ave, Winters, CA 95694, USA | score=0.50 | placeId=ChIJa7zhFIvfhIARHwDi4eqHBWA",,true,false,partial,compact_handle_name_mismatch,
Name or @ Only,https://www.instagram.com/p/DSYfkivkiOA/,Taqueria Los Pericos,"Santa Cruz, CA",candidate_confirmation,"Name/handle + city context. Candidate confirmation, not auto-save.",extracted,Taqueria Los Pericos,"139 Water St, Santa Cruz, CA 95060, USA",ChIJERL3niVAjoARl8XPdDVqQ8U,candidate_picker,false,medium,caption_city_state; caption_venue_hint; venue_handle_tagged,,,"Taqueria Los Pericos | 139 Water St, Santa Cruz, CA 95060, USA | score=0.95 | placeId=ChIJERL3niVAjoARl8XPdDVqQ8U || Taqueria Los Pericos | 36 Rancho Del Mar, Aptos, CA 95003, USA | score=0.92 | placeId=ChIJNQrDGMoVjoARCgbmwaxkKio || Los Pericos Market | 21400 E Cliff Dr, Santa Cruz, CA 95062, USA | score=0.70 | placeId=ChIJ6WYi9UUVjoARe8_GFSMLsLU",,false,false,fail,compact_handle_name_mismatch,
Name or @ Only,https://www.instagram.com/p/DOXJtDlgcoi/,Point Market & Cafe,"Santa Cruz, CA",candidate_confirmation,"Explicit venue name + city, no address. Candidate confirmation.",extracted,Pacific Point Market & Cafe,"302 Pacific Ave C, Santa Cruz, CA 95060, USA",ChIJw33HjItrjoAR9BP5fsdLhRA,candidate_picker,false,medium,caption_city_state; caption_venue_hint; poster_handle_present; poster_name_hint,,,"Pacific Point Market & Cafe | 302 Pacific Ave C, Santa Cruz, CA 95060, USA | score=0.98 | placeId=ChIJw33HjItrjoAR9BP5fsdLhRA || Point Market | 23040 E Cliff Dr, Santa Cruz, CA 95062, USA | score=0.97 | placeId=ChIJU_ab-yIVjoAR5WIBCe7nKpE",,false,false,fail,compact_handle_name_mismatch,
Name or @ Only,https://www.instagram.com/p/DMV8LZ4hUoG/,Seabright Deli,"Santa Cruz, CA",candidate_confirmation,Venue handle + city context only. Candidate confirmation.,extracted,Seabright Deli,"415 Seabright Ave, Santa Cruz, CA 95062, USA",ChIJnRX-2FJrjoARoeQkm8tJ08E,candidate_confirmation,false,high,caption_city_state; caption_venue_hint; venue_handle_tagged,,,"Seabright Deli | 415 Seabright Ave, Santa Cruz, CA 95062, USA | score=0.95 | placeId=ChIJnRX-2FJrjoARoeQkm8tJ08E",,true,false,partial,compact_handle_name_mismatch,
Address Only,https://www.instagram.com/p/DYYfWR9oeYS/,Mesa Verde Farmers Market,"1525 Mesa Verde Dr E, Costa Mesa, CA 92626",candidate_confirmation,Address + event/market name. Current Verde Media result is wrong; parser split 'E' into city and Places queries over-trust handle tokens.,extracted,Mesa Verde Plaza,"1525 Mesa Verde Dr E, Costa Mesa, CA 92626, USA",ChIJbZFsY2Hf3IARTk7lvvG-RYQ,candidate_confirmation,false,medium,caption_explicit_address; caption_city_state; caption_venue_hint; venue_handle_tagged,address_verify_name_mismatch,,"Mesa Verde Plaza | 1525 Mesa Verde Dr E, Costa Mesa, CA 92626, USA | score=0.71 | placeId=ChIJbZFsY2Hf3IARTk7lvvG-RYQ",,true,false,partial,wrong_place,
Address Only,https://www.instagram.com/p/DYS8NLyh4Bq/,Old World Biergarten Festival Hall & Concert Venue,"7561 Center Ave #49, Huntington Beach, CA 92647",candidate_confirmation,Two plausible same-address candidates. Candidate confirmation should show Old World Biergarten/Restaurant options.,extracted,Old World Village,"7561 Center Ave #50, Huntington Beach, CA 92647, USA",ChIJ5cuORWom3YAR3YONth4tByk,candidate_confirmation,false,high,caption_explicit_address; caption_city_state; caption_venue_hint; venue_handle_tagged,,,"Old World Village | 7561 Center Ave #50, Huntington Beach, CA 92647, USA | score=0.84 | placeId=ChIJ5cuORWom3YAR3YONth4tByk",,true,false,partial,wrong_place,
Address Only,https://www.instagram.com/p/DYOcSIkorkN/,OC Greek Fest,"405 N Dale Ave, Anaheim, CA 92801",candidate_confirmation,Event/festival venue with full address. Candidate confirmation.,extracted,OC Greek Fest,"405 N Dale Ave, Anaheim, CA 92801, USA",ChIJn6VtLt8p3YAR0Dbnl88T7dA,candidate_confirmation,false,high,caption_explicit_address; caption_venue_hint; venue_handle_tagged,address_verify_name_mismatch,,"OC Greek Fest | 405 N Dale Ave, Anaheim, CA 92801, USA | score=0.79 | placeId=ChIJn6VtLt8p3YAR0Dbnl88T7dA",,true,true,pass,,
Restaurant Post / Nothing,https://www.instagram.com/p/DYbLVMBp_dY/,BLK Earth Sea Spirits,"Huntington Beach, CA",candidate_confirmation,Restaurant account/poster display name + city hashtag but no address. Candidate confirmation acceptable; no safe_save.,extracted,BLK Earth Sea Spirits,"Pierside Pavilion, 300 Pacific Coast Hwy Ste 202, Huntington Beach, CA 92648, USA",ChIJvUH-h0Eh3YARm3aq4RiI5Sc,candidate_confirmation,false,high,caption_city_state; caption_venue_hint; venue_handle_tagged,,,"BLK Earth Sea Spirits | Pierside Pavilion, 300 Pacific Coast Hwy Ste 202, Huntington Beach, CA 92648, USA | score=0.95 | placeId=ChIJvUH-h0Eh3YARm3aq4RiI5Sc",,true,false,partial,compact_handle_name_mismatch,
