sequence,event,start_timestamp_utc,end_timestamp_utc,duration_ms,queue_wait_ms,active_processing_ms,retry_count,provider_call_count,timeout,outcome,required,duplicated,precision,evidence
T0,client_share_initiated,2026-09-15T00:04:22.681Z,2026-09-15T00:04:22.681Z,0,,,0,0,false,success,true,false,recording_approximate,"Aligned from recording; client telemetry not retained"
T1,extension_durable_acceptance,2026-09-15T00:04:29.681Z,2026-09-15T00:04:29.681Z,0,,,0,0,false,success,true,false,bounded_by_row_create,"Share extension showed Sent to Nearr; no separate client timestamp retained"
T2,create_share_job_received,,,,,,0,0,false,success,true,false,not_retained,"No request-receipt event retained"
T3,durable_row_created,2026-09-15T00:04:29.680604Z,2026-09-15T00:04:29.680604Z,0,0,0,0,0,false,success,true,false,database_exact,"share_jobs.created_at"
T4,job_queued,2026-09-15T00:04:29.680604Z,2026-09-15T00:04:29.680604Z,0,0,0,0,0,false,success,true,false,database_exact,"Initial share_jobs state and created_at"
T5,process_share_jobs_first_claim,,,,,,0,0,false,success,true,false,not_retained,"Attempts proves five claims; claim timestamps were not persisted"
T6,metadata_acquisition_started,,,,,,4,unknown,false,success,true,true,not_retained,"processOne ran once per claim"
T7,metadata_acquisition_completed,,,,,,4,unknown,false,success,true,true,not_retained,"Open Graph title/description persisted; per-attempt timing absent"
T8,source_metadata_and_candidates_persisted,2026-09-15T00:04:29.680604Z,2026-09-15T00:04:36.681Z,7000,,,0,,false,success,true,false,recording_upper_bound,"San Francisco appeared about seven seconds after durable acceptance"
T9,media_task_insert_attempted,,,,,,4,5,false,failure,true,true,count_exact_time_not_retained,"Five job attempts; each reached enqueue_media_task_failed"
T10,worker_pickup,,,,0,0,0,0,0,false,not_started,true,false,database_exact,"No share_media_tasks row"
T11,media_acquisition_started,,,,0,0,0,0,0,false,not_started,true,false,database_exact,"No task/run"
T12,media_acquisition_completed,,,,0,0,0,0,0,false,not_started,true,false,database_exact,"No task/run"
T13,audio_extraction,,,,0,0,0,0,0,false,not_started,false,false,database_exact,"No task/run"
T14,whisper,,,,0,0,0,0,0,false,not_started,false,false,database_exact,"No task/run"
T15,frame_extraction,,,,0,0,0,0,0,false,not_started,true,false,database_exact,"No task/run"
T16,gemini,,,,0,0,0,0,0,false,not_started,true,false,database_exact,"No task/run"
T17,sol,,,,0,0,0,0,0,false,not_started,false,false,database_exact,"No task/run"
T18,worker_places_lookups,,,,0,0,0,0,0,false,not_started,true,false,database_exact,"No task/run; metadata Places timing/call count not retained"
T19,retry_and_cron_wait,2026-09-15T00:04:29.680604Z,2026-09-15T00:08:05.087Z,215406,,,4,,false,attempts_exhausted,true,true,database_boundary_exact,"Five claims/max five; per-minute cron backstop; per-attempt timestamps absent"
T20,worker_finalization,,,,0,0,0,0,0,false,not_started,true,false,database_exact,"Worker never ran"
T21,supabase_terminal_persistence,2026-09-15T00:08:05.087Z,2026-09-15T00:08:05.524416Z,437,0,437,0,0,false,success,true,false,database_exact,"completed_at to updated_at"
T22,client_observed_terminal_transition,2026-09-15T00:08:05.087Z,2026-09-15T00:08:05.681Z,594,,,0,0,false,success,true,false,recording_upper_bound,"Queue item disappeared around recording 3:43"
T23,notification_decision_created,2026-09-15T00:08:05.087Z,2026-09-15T00:08:05.087Z,0,0,0,0,0,false,success,true,false,database_exact,"Notification payload reserved with terminal update"
T24,notification_submit,2026-09-15T00:08:05.276389Z,2026-09-15T00:08:05.473Z,197,0,197,0,1,false,submitted,true,false,database_exact,"notification_last_attempt_at to notification_submitted_at"
T25,notification_received,2026-09-15T00:08:16.681Z,2026-09-15T00:08:16.681Z,0,,,0,1,false,received,true,false,recording_approximate,"Visible notification around recording 3:47"
T26,quick_check_displayed,2026-09-15T00:08:21.681Z,2026-09-15T00:08:21.681Z,0,,,0,0,false,displayed,true,false,recording_approximate,"Quick Check visible around recording 3:52"
